latitude,longitude,blue_band,green_band,depth
27.31458333333333,50.23125,0.0363,0.0285,56.0
24.10625,52.37708333333333,0.0569,0.0502,10.0
25.918750000000003,55.31458333333334,0.04545,0.03665,63.0
25.48125,52.73125,0.03675,0.02995,30.0
27.50208333333333,50.83541666666667,0.0366,0.0352,59.0
29.83541666666667,50.23125,0.1202,0.1394,2.0
24.585416666666667,54.10625,0.0438,0.0361,18.0
28.856250000000003,50.79375,0.1077333333333333,0.1138,3.0
26.272916666666667,51.98125,0.0459,0.0432,36.0
29.93958333333334,50.12708333333333,0.1348,0.1651,2.0
27.87708333333333,49.23125,0.06125,0.0547,9.0
30.106250000000003,50.08541666666667,0.1268,0.1312,3.0
26.585416666666667,56.29375,0.04595,0.0368,76.0
24.835416666666667,54.27291666666667,0.03835,0.031,21.0
26.418750000000003,55.79375,0.0457,0.0375,53.0
29.27291666666667,48.33541666666667,0.1065,0.1209,2.0
24.85625,53.50208333333334,0.0556,0.043,20.0
24.29375,52.27291666666667,0.0446,0.0357,33.0
26.606250000000003,52.00208333333333,0.04725,0.04155,57.0
25.897916666666667,55.43958333333334,0.0444,0.0344,57.0
25.18958333333333,51.87708333333333,0.0692,0.0628,16.0
26.12708333333333,50.75208333333333,0.0615,0.0567,5.0
27.50208333333333,51.04375,0.0421666666666666,0.0341666666666666,70.0
27.522916666666667,51.93958333333333,0.04635,0.0445,54.0
25.31458333333333,50.60625,0.0347,0.033,5.0
27.606250000000003,51.73125,0.10175,0.09975,17.0
30.33541666666667,48.93958333333333,0.153,0.2026666666666666,1.0
26.897916666666667,50.54375,0.0434,0.0384,16.0
26.25208333333333,51.87708333333333,0.0482,0.0468,18.0
24.93958333333333,52.10625,0.0676333333333333,0.05525,7.0
28.58541666666667,49.58541666666667,0.053,0.0468,43.0
27.168750000000003,49.46041666666667,0.0539,0.0748,2.0
25.04375,53.96041666666667,0.0621,0.0543,21.0
27.12708333333333,56.23125,0.0983,0.09895,12.0
27.18958333333333,50.87708333333333,0.0407,0.0323,67.0
26.18958333333333,52.33541666666667,0.0371666666666666,0.0282666666666666,56.0
26.668750000000003,51.31458333333333,0.04595,0.03765,57.0
